Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,70.300003,70.559998,68.050003,68.949997,68.949997,2011871
2019-07-26,69.269997,69.309998,68.419998,68.669998,68.669998,1265670
2019-07-29,68.339996,68.349998,67.839996,68.290001,68.290001,908630
2019-07-30,68.540001,68.540001,66.629997,67.110001,67.110001,1560448
2019-07-31,67.110001,67.320000,66.660004,66.830002,66.830002,1494495
2019-08-01,67.000000,67.970001,66.900002,67.489998,67.489998,1545801
2019-08-02,65.800003,66.190002,63.700001,64.650002,64.650002,3893077
2019-08-05,63.299999,64.029999,62.689999,63.340000,63.340000,2151237
2019-08-06,63.349998,63.610001,62.259998,62.259998,62.259998,1779024
2019-08-07,62.700001,63.169998,61.580002,62.110001,62.110001,1702435
2019-08-08,62.840000,62.840000,62.000000,62.529999,62.529999,1346719
2019-08-09,62.200001,62.349998,60.619999,61.029999,61.029999,2253975
2019-08-12,61.259998,61.709999,60.500000,60.830002,60.830002,1084603
2019-08-13,60.500000,62.040001,59.599998,61.040001,61.040001,2178685
2019-08-14,61.099998,61.099998,59.299999,59.599998,59.599998,1972805
2019-08-15,59.759998,59.799999,58.040001,58.820000,58.820000,1934815
2019-08-16,59.020000,59.639999,58.860001,59.560001,59.560001,1625628
2019-08-19,60.230000,60.779999,59.889999,60.360001,60.360001,1283004
2019-08-20,60.349998,60.580002,59.560001,59.740002,59.740002,1009171
2019-08-21,59.790001,61.080002,59.770000,60.590000,60.590000,1230630
2019-08-22,60.320000,61.180000,60.180000,60.610001,60.610001,1095714
2019-08-23,60.810001,61.209999,58.610001,58.700001,58.700001,2753250
2019-08-26,58.810001,59.849998,58.509998,59.570000,59.570000,1613088
2019-08-27,59.680000,60.389999,59.270000,59.490002,59.490002,1777471
2019-08-28,59.490002,59.740002,58.750000,59.720001,59.720001,1292671
2019-08-29,59.580002,60.340000,59.349998,60.169998,60.169998,986990
2019-08-30,60.139999,61.209999,60.139999,60.810001,60.810001,1305155
2019-09-02,60.500000,60.820000,60.310001,60.529999,60.529999,653443
2019-09-03,60.400002,60.680000,60.009998,60.400002,60.400002,1149468
2019-09-04,61.200001,61.599998,61.000000,61.090000,61.090000,1245575
2019-09-05,61.900002,62.650002,61.700001,62.320000,62.320000,1575151
2019-09-06,62.570000,63.110001,61.740002,62.320000,62.320000,1815948
